"date-cache","0.3.0","https://src.fedoraproject.org/rpms/ghc-date-cache"
"dbus","1.2.16","https://src.fedoraproject.org/rpms/ghc-dbus"
"dec","0.0.3","https://src.fedoraproject.org/rpms/ghc-servant"
"deepseq","1.4.4.0","https://src.fedoraproject.org/rpms/ghc"
"deepseq-generics","0.2.0.0","https://src.fedoraproject.org/rpms/ghc-deepseq-generics"
"dense-linear-algebra","0.1.0.0","https://src.fedoraproject.org/rpms/ghc-statistics"
"dhall","1.32.0","https://src.fedoraproject.org/rpms/dhall"
"dhall-json","1.6.4","https://src.fedoraproject.org/rpms/dhall-json"
"digest","0.0.1.2","https://src.fedoraproject.org/rpms/ghc-digest"
"directory","1.3.6.0","https://src.fedoraproject.org/rpms/ghc"
"disk-free-space","0.1.0.1","https://src.fedoraproject.org/rpms/ghc-disk-free-space"
"distributive","0.6.2","https://src.fedoraproject.org/rpms/ghc-distributive"
"djinn-ghc","0.0.2.3","https://src.fedoraproject.org/rpms/ghc-djinn-ghc"
"djinn-lib","0.0.1.3","https://src.fedoraproject.org/rpms/ghc-djinn-lib"
"dl-fedora","0.9","https://src.fedoraproject.org/rpms/dl-fedora"
"dlist","0.8.0.8","https://src.fedoraproject.org/rpms/ghc-dlist"
"dns","4.0.1","https://src.fedoraproject.org/rpms/ghc-dns"
"doclayout","0.3","https://src.fedoraproject.org/rpms/ghc-doctemplates"
"doctemplates","0.8.2","https://src.fedoraproject.org/rpms/ghc-doctemplates"
"doctest","0.16.3","https://src.fedoraproject.org/rpms/ghc-doctest"
"dotgen","0.4.3","https://src.fedoraproject.org/rpms/ghc-dotgen"
"easy-file","0.2.2","https://src.fedoraproject.org/rpms/ghc-fast-logger"
"echo","0.1.3","https://src.fedoraproject.org/rpms/ghc-echo"
"ed25519","0.0.5.0","https://src.fedoraproject.org/rpms/ghc-ed25519"
"edit-distance","0.2.2.1","https://src.fedoraproject.org/rpms/ghc-edit-distance"
"either","5.0.1.1","https://src.fedoraproject.org/rpms/ghc-either"
"email-validate","2.3.2.13","https://src.fedoraproject.org/rpms/ghc-email-validate"
"emojis","0.1","https://src.fedoraproject.org/rpms/pandoc"
"enclosed-exceptions","1.0.3","https://src.fedoraproject.org/rpms/ghc-enclosed-exceptions"
"entropy","0.4.1.6","https://src.fedoraproject.org/rpms/ghc-entropy"
"equivalence","0.3.5","https://src.fedoraproject.org/rpms/ghc-equivalence"
"erf","2.0.0.0","https://src.fedoraproject.org/rpms/ghc-erf"
"errors","2.3.0","https://src.fedoraproject.org/rpms/ghc-doctemplates"
"esqueleto","3.3.3.2","https://src.fedoraproject.org/rpms/ghc-esqueleto"
"exceptions","0.10.4","https://src.fedoraproject.org/rpms/ghc-exceptions"
"executable-path","0.0.3.1","https://src.fedoraproject.org/rpms/ghc-executable-path"
"explicit-exception","0.1.10","https://src.fedoraproject.org/rpms/ghc-explicit-exception"
"extensible-exceptions","0.1.1.4","https://src.fedoraproject.org/rpms/ghc-extensible-exceptions"
"extra","1.7.3","https://src.fedoraproject.org/rpms/ghc-extra"
"failure","0.2.0.3","https://src.fedoraproject.org/rpms/ghc-failure"
"fast-logger","3.0.1","https://src.fedoraproject.org/rpms/ghc-fast-logger"
"fbrnch","0.9.1.1","https://src.fedoraproject.org/rpms/fbrnch"
"fclabels","2.0.5","https://src.fedoraproject.org/rpms/ghc-fclabels"
"fdo-notify","0.3.1","https://src.fedoraproject.org/rpms/ghc-fdo-notify"
"feed","1.3.0.1","https://src.fedoraproject.org/rpms/ghc-feed"
"fgl","5.7.0.2","https://src.fedoraproject.org/rpms/ghc-fgl"
"file-embed","0.0.11.2","https://src.fedoraproject.org/rpms/ghc-file-embed"
"filelock","0.1.1.5","https://src.fedoraproject.org/rpms/haskell-platform"
"filemanip","0.3.6.3","https://src.fedoraproject.org/rpms/ghc-filemanip"
"filepath","1.4.2.1","https://src.fedoraproject.org/rpms/ghc"
"filepath-bytestring","1.4.2.1.6","https://src.fedoraproject.org/rpms/ghc-filepath-bytestring"
"filepattern","0.1.2","https://src.fedoraproject.org/rpms/ghc-filepattern"
"filestore","0.6.4","https://src.fedoraproject.org/rpms/ghc-filestore"
"fingertree","0.1.4.2","https://src.fedoraproject.org/rpms/ghc-fingertree"
"fixed","0.3","https://src.fedoraproject.org/rpms/ghc-fixed"
"foldl","1.4.6","https://src.fedoraproject.org/rpms/ghc-foldl"
"foundation","0.0.25","https://src.fedoraproject.org/rpms/ghc-foundation"
"free","5.1.3","https://src.fedoraproject.org/rpms/ghc-free"
"fsnotify","0.3.0.1","https://src.fedoraproject.org/rpms/ghc-fsnotify"
"generic-deriving","1.13.1","https://src.fedoraproject.org/rpms/ghc-generic-deriving"
"generics-sop","0.5.1.0","https://src.fedoraproject.org/rpms/ghc-generics-sop"
"geniplate-mirror","0.7.6","https://src.fedoraproject.org/rpms/Agda"
"ghc","8.8.4","https://src.fedoraproject.org/rpms/ghc"
"ghc-boot","8.8.4","https://src.fedoraproject.org/rpms/ghc"
"ghc-boot-th","8.8.4","https://src.fedoraproject.org/rpms/ghc"
"ghc-compact","0.1.0.0","https://src.fedoraproject.org/rpms/ghc"
"ghc-heap","8.8.4","https://src.fedoraproject.org/rpms/ghc"
"ghc-lib-parser","8.10.2.20200808","https://src.fedoraproject.org/rpms/ghc-ghc-lib-parser"
"ghc-lib-parser-ex","8.10.0.15","https://src.fedoraproject.org/rpms/hlint"
"ghc-mtl","1.2.1.0","https://src.fedoraproject.org/rpms/ghc-ghc-mtl"
"ghc-paths","0.1.0.12","https://src.fedoraproject.org/rpms/ghc-ghc-paths"
"ghc-syb-utils","0.3.0.0","https://src.fedoraproject.org/rpms/ghc-ghc-syb-utils"
"ghci","8.8.4","https://src.fedoraproject.org/rpms/ghc"
"ghcid","0.8.7","https://src.fedoraproject.org/rpms/ghcid"
"gi-atk","2.0.22","https://src.fedoraproject.org/rpms/ghc-gi-atk"
"gi-cairo","1.0.24","https://src.fedoraproject.org/rpms/ghc-gi-cairo"
"gi-gdk","3.0.23","https://src.fedoraproject.org/rpms/ghc-gi-gdk"
"gi-gdkpixbuf","2.0.24","https://src.fedoraproject.org/rpms/ghc-gi-gdkpixbuf"
"gi-gio","2.0.27","https://src.fedoraproject.org/rpms/ghc-gi-gio"
"gi-glib","2.0.24","https://src.fedoraproject.org/rpms/ghc-gi-glib"
"gi-gobject","2.0.25","https://src.fedoraproject.org/rpms/ghc-gi-gobject"
"gi-gtk","3.0.36","https://src.fedoraproject.org/rpms/ghc-gi-gtk"
"gi-harfbuzz","0.0.3","https://src.fedoraproject.org/rpms/ghc-gi-pango"
"gi-pango","1.0.23","https://src.fedoraproject.org/rpms/ghc-gi-pango"
"gio","0.13.8.1","https://src.fedoraproject.org/rpms/ghc-gio"
